frame,inconsistencia
644,1.4236512
645,3.7933905
646,0.6026534
647,0.57660586
648,0.54971033
649,0.43349373
650,0.33706066
651,0.29885486
652,0.37302193
653,0.36042705
654,0.37925917
655,0.36877555
656,0.32334194
657,0.25571436
658,0.20200996
659,0.18547058
660,0.30430079
661,0.7003579
662,0.5774485
663,0.26022112
664,0.39314032
665,0.27251637
666,5.4057803
667,0.32662588
668,0.34226525
669,0.379284
670,0.60228395
671,0.6351308
672,0.6337373
673,0.5816576
674,0.6121107
675,0.62338173
676,0.59147936
677,0.5018743
678,0.4095587
679,0.3152739
680,0.24561134
681,0.22943424
682,0.32166988
683,0.1969286
684,0.16374007
685,0.16791031
686,0.1793541
687,0.2070767
688,0.21806718
689,0.21975636
690,0.28562662
691,0.30601558
692,0.4515832
693,0.61985105
694,0.8636079
695,1.1574016
696,1.6540823
697,3.4470468
698,5.94787
699,3.9201686
700,2.311306
701,1.1804965
702,1.0754873
703,1.1135703
704,1.1478112
705,12.794914
706,1.1679991
707,1.2834347
708,1.2579097
709,1.0930704
710,1.080982
711,1.0467759
712,1.059353
713,1.1972291
714,1.3043132
715,4.6301003
716,0.95507103
717,0.77997714
718,0.6647397
719,0.62691516
720,0.60269743
721,0.53763825
722,0.5388892
723,0.5203501
724,0.54900175
725,0.6523921
